TourenÅbersicht;;;;;
Lieferdatum: 28.08.25;;;;;
;;;;;
Kdnr;Name;Stra·e;PLZ;Ort;Gedruckt
4565;Marco Wagner;NiedermÅhle 117;01738;Dorfhain;1
5415;Autohaus Rettberg GmbH;Altenberger Str. 48;01744;Dippoldiswalde;1
5432;AS Frank Zimmermann;Hauptstra·e 89;01744;Dippoldiswalde;1
5646;Dippser-Auto-Ecke;Obertorplatz 13A;01744;Dippoldiswalde;1
5428;Land-Bau-&Fahrzeugtechnik;Dorfstra·e 37;01768;GlashÅtte OT Luchau;1
5388;Autohaus Leuteritz GmbH;MÅglitztalstra·e 10;01773;Altenberg OT BÑrenstein;1
5382;ASH Dirk HÑger;Am MÅhlgraben 3;01774;Klingenberg;1
;;;;;
;CB Anlief. T5, 9.15 Uhr;;;;
6002;FAMO Fahrzeug-und Motorenteile GmbH;Am Telering 1;03051;Cottbus;1
;;;;;
;Anlief. T3, 9.30 Uhr;;;;
2574;MOTORSTOPP;Hallesche Str. 77;04159;Leipzig;1
2571;Thomas Bode;Rosenowstr. 8;04357;Leipzig;1
;;;;;
;TA Anlief. T3, 9.30 Uhr;;;;
6005;FAMO Fahrzeug-und Motorenteile GmbH;Dewitzer Str. 77f;04425;Taucha;1
;;;;;
;PIR Anlief. 9.45 Uhr;;;;
4646;Gustavs Autohof;Wittgensdorf Nr. 16;01731;Kreischa OT Wittgensdorf;1
40158;Kloss Auto-Service;Bahretalstr. 3a;01796;Dohma;1
40736;JÅrgen Schiebel;Cotta B 16G;01796;Dohma;1
40257;Autohaus Welde GmbH;Dresdner Strasse 5;01796;Pirna;1
40482;Kfz-Reparatur;Pratzschwitzer Stra·e 220;01796;Pirna/Birkwitz;1
5288;Die-Autogesellschaft-Dresden.de;Hauptstra·e 1;01809;Heidenau;1
40174;Autohaus in Berggie·hÅbel GmbH;Talstr. 4;01816;Bad Gottleuba - Berggie·hÅbel;1
40413;Rasche, Thomas;Friedrichswalde 59;01819;Friedrichswalde;1
5626;Halle 13 - Teile;Lohmener Str. 13;01833;DÅrrrîhrsdorf-Dittersbach;1
;;;;;
;Anlief. T10, 10.00 Uhr;;;;
3060;Schaarschmidt-Autoteile;Stollberger Stra·e 18;09419;Thum;1
1422;Dietze & Schindler;Ladestra·e 2b;09465;Sehmatal-OT Sehma;1
2907;Autechna Autoteile;Am Abrahamschacht 4;09496;Marienberg;1
2907;Autechna Autoteile;Am Abrahamschacht 4;09496;Marienberg;1
1048;AUTOTEILE BôRNER;Wolkensteiner Str. 18;09514;Pockau - Lengefeld;1
1590;Fa. Flade Thomas;Rungstockstr. 43;09526;Olbernhau/Sa;1
2145;Auto Lippmann;Kleinhartmannsdorfer Str. 7;09618;Brand-Erbisdorf;1
;;;;;
;Anlief. T8, 10.00 Uhr;;;;
1408;Autoteile und Zubehîr;Reichenbacher Str. 190a;08056;Zwickau;1
1484;Klaus Brandner GbR;Gewerbegebiet Kaltes Feld  36;08468;Heinsdorfergrund;1
1168;Schafferus;Zwickauer Str. 194;08468;Reichenbach;1
1235;V. Kluge GmbH;Amalienstrasse 12;09669;Frankenberg;1
3111;ATM Reparaturzentrum;éu·ere-Hainichener-Str. 5a;09669;Frankenberg;1
;;;;;
;BZ T2 Anlief.9.45 Uhr;;;;
6001;FAMO Fahrzeug-und Motorenteile GmbH;Kleine BaschÅtzer Str. 1;02625;Bautzen;1
;;;;;
;FG Anlief. T10, 10.00 Uhr;;;;
6009;FAMO Fahrzeug-und Motorenteile GmbH;Brander Stra·e 65;09599;Freiberg;1
;;;;;
;Anlief. T2, 10.00 Uhr;;;;
1130;MotorenService BiebersteinGmbH;Hauptstra·e 68;02699;Kînigswartha;1
1544;KLIEMT NUTZFAHRZEUGTEILE;Am Flugplatz 22;02828;Gîrlitz;1
;;;;;
;W-11.00 Uhr BAR;;;;
4993;41 Roswitha;;;;1
4993;Sven - PF;;;;1
4586;Kuli's Carpoint;Reisstr. 40;01257;Dresden;1
;;;;;
;W-11.00 Uhr Tour;;;;
4747;Lackwerk LW GmbH;Bremer Stra·e 5;01067;Dresden;1
5448;TM Reifen und Autoservice;Fischhausstr. 15b;01099;Dresden;1
4117;Autohaus Zimmermann;Am Trachauer Bahnhof 9;01139;Dresden;1
2939;Autoservice Petters GmbH;Sternstra·e 14;01139;Dresden;1
4727;Waldek Cars;Sternstra·e 47;01139;Dresden;1
5226;Autovermietung Vetter;Sternstra·e 47;01139;Dresden;1
4052;KFZ-Service Holger Garz;Veteranenstr. 3;01139;Dresden;1
4169;SachsenNetze GmbH;Fabrikstr.5;01159;Dresden;1
4522;Autoservice Reichert GmbH ;Kesselsdorfer Strasse 99 ;01159;Dresden;1
5116;CAR-ART GmbH;Lîbtauer Str. 55;01159;Dresden;1
4490;Reifen RÅhle e.K. Autotechnik;Lîbtauer Stra·e 42;01159;Dresden;1
4529;Freie Kfz.-Werkstatt Czerwonka;Lîbtauer Strasse 65;01159;Dresden;1
3044;ATW Fahrzeugteile;Frîbelstr. 51a;01159;Dresden ;1
4015;Autoservice Hartmann;Altreick 26;01237;Dresden;1
4601;Automatikgetriebeservice ;MÅgelner Str.29;01237;Dresden;1
5662;A.T.L. Autoteileland;Bismarckstra·e 57;01257;Dresden;1
5116;CAR-ART GmbH;Bismarkstr. 63;01257;Dresden;1
5287;Auto Werft Dresden;Str. des 17. Juni 11;01257;Dresden;1
4278;Kraftwagen-Reparatur;Keppgrundstrasse 7;01259;Dresden;1
5000;T & S Fahrzeugtechnik GmbH;BÑrensteiner Str. 27-29;01277;Dresden;1
5445;Autoservice Laubegast;ôsterreicher Str. 63;01279;Dresden;1
4413;Kfz-Meisterbetrieb Stege;Tolkewitzer Strasse 83;01279;Dresden;1
4430;Dietmar Beerwart ;Hertelstrasse 17;01307;Dresden;1
4915;Meisterwerkstatt Weigel;Rosa-Menzer-Stra·e 23;01309;Dresden;1
2831;MLTec Automotive GmbH;Weinbergstr. 4;01445;Radebeul;1
5602;Autowerkstatt MAUDRICH GmbH;Ringstr. 43;01468;Moritzburg OT Boxdorf;1
5586;Autohof Radeburg GmbH;KînigsbrÅckerstra·e 30;01471;Radeburg;1
5298;Turboservice Ingo Barthel;Bohnitzscher Str. 4;01662;Mei·en;1
5251;Die·ner & MÅske GbR;Bockwener Ring 8;01665;Klipphausen;1
