0;1;2;3;4;5
0;1;2;3;4;5
Tourenbersicht;nan;nan;nan;nan;nan
Lieferdatum: 18.08.25;nan;nan;nan;nan;nan
nan;nan;nan;nan;nan;nan
Kdnr;Name;Straáe;PLZ;Ort;Gedruckt
nan;W-07.00 Uhr Tour;nan;nan;nan;nan
4606;Auto Becker;Altnossener Straáe 7;01156;Dresden / Gompitz;1
5236;MSM by HUBraum GmbH;Frbelstraáe 20;01159;Dresden;1
5119;Gomodrom Automobile;Kesselsdorfer Str. 99;01159;Dresden;1
5116;CAR-ART GmbH;Lbtauer Str. 55;01159;Dresden;1
4026;AUTO LUST;Krausestraáe 4;01187;Dresden;1
1226;Auto Jrgen Pfeiffer KG;Reicker Str. 91;01237;Dresden;1
1375;Marks Dieselmotorentechnik ;Enderstr. 63;01277;Dresden;1
5445;Autoservice Laubegast;sterreicher Str. 63;01279;Dresden;1
4413;Kfz-Meisterbetrieb Stege;Tolkewitzer Strasse 83;01279;Dresden;1
5549;Autohaus Borsbergstraáe GmbH;Borsbergstraáe 39;01309;Dresden;1
4593;Autoservice Matthes;Alt-Serkowitz 1;01445;Radebeul;1
5600;Werkstatt Swen Vogel;Friedrich-Ludwig-Jahn-Allee 6;01471;Radeburg;1
5586;Autohof Radeburg GmbH;Knigsbrckerstraáe 30;01471;Radeburg;1
4916;Kraftwagenpark Dresden;Zum Lindenhof 9 b;01665;Riemsdorf;1
4044;Autoreparaturwerk Freital KG;Cunnersdorferstraáe 12;01705;Freital;1
4041;Helmut Hammerschmidt KFZ;Wilsdruffer Straáe 65;01705;Freital;1
4331;FTT Fahrzeug Technik Tharandt;Dresdner Straáe 36b;01737;Tharandt;1
5342;Karosseriefachbetrieb Kirchner;Freitaler Straáe 8;01737;Tharandt/Groáopitz;1
4565;Marco Wagner;Niedermhle 117;01738;Dorfhain;1
nan;nan;nan;nan;nan;nan
nan;PIR Anlief. 7.45 BAR;nan;nan;nan;nan
40562;Kfz-Werkstatt Hocker;Pillnitzer Straáe 1;01796;Pirna;1
nan;nan;nan;nan;nan;nan
nan;PIR Anlief. 7.45 Uhr;nan;nan;nan;nan
4646;Gustavs Autohof ;Wittgensdorf Nr. 16;01731;Kreischa OT Wittgensdorf;1
4646;Gustavs Autohof;Wittgensdorf Nr. 16;01731;Kreischa OT Wittgensdorf;1
40722;mobilforum GmbH;Longuyoner Str. 5;01796;Pirna;1
40482;Kfz-Reparatur;Pratzschwitzer Straáe 220;01796;Pirna/Birkwitz;1
40138;Kfz-Service Hertling;Herbert-Liebsch- Str. 4;01796;Pirna-Sonnenstein;1
5280;Karosserie- & KfZ-Service Derlich;Siedlung 17;01809;Burkhardswalde;1
4231;Autohaus Olaf Streit;Ringstraáe 25;01809;Heidenau;1
40174;Autohaus in Berggieáhbel GmbH;Talstr. 4;01816;Bad Gottleuba - Berggieáhbel;1
40108;Autoservice Arnold;Talstr. 19;01816;Berggieáhbel;1
1480;ESW Autoservice GmbH;Knigsteiner Str. 46;01824;Leupoldishain;1
nan;nan;nan;nan;nan;nan
nan;W-09.00 Uhr BAR;nan;nan;nan;nan
4993;41 Roswitha;nan;nan;nan;1
5553;Auto-Service-Center Dresden;Dohnaer Strasse 74;01219;Dresden;1
nan;nan;nan;nan;nan;nan
nan;W-09.00 Uhr Tour;nan;nan;nan;nan
