0;1;2;3;4;5
0;1;2;3;4;5
Tourenbersicht;nan;nan;nan;nan;nan
Lieferdatum: 01.10.25;nan;nan;nan;nan;nan
nan;nan;nan;nan;nan;nan
Kdnr;Name;Straáe;PLZ;Ort;Gedruckt
nan;W-07.00 Uhr BAR;nan;nan;nan;nan
4225;Autohaus Fischer;Meuálitzer Straáe 118;01259;Dresden;1
5023;Stockmann KFZ-Service;Cowaplast 28;01640;Coswig;1
nan;nan;nan;nan;nan;nan
nan;W-07.00 Uhr Tour;nan;nan;nan;nan
4747;Lackwerk LW GmbH;Bremer Straáe 5;01067;Dresden;1
5205;DISTREX Fahrzeugservice e.K.;Wiener Straáe 10;01069;Dresden;1
4987;Autoservice Hartmann;Bauernweg 46;01109;Dresden;1
4117;Autohaus Zimmermann;Am Trachauer Bahnhof 9;01139;Dresden;1
5236;MSM by HUBraum GmbH;Frbelstraáe 20;01159;Dresden;1
5236;MSM by HUBraum GmbH;Frbelstraáe 20;01159;Dresden;1
5454;"Kfz-Betrieb ""Die Meister""";Lbtauer Strasse 54-56;01159;Dresden;1
4812;Pauls Garage;Reicker Straáe 53;01219;Dresden;1
5195;Rob`s Kfz-Service;Enno-Heidebroeck-Str. 11;01237;Dresden;1
4601;Automatikgetriebeservice ;Mgelner Str.29;01237;Dresden;1
1226;Auto Jrgen Pfeiffer KG;Reicker Str. 91;01237;Dresden;1
5000;T & S Fahrzeugtechnik GmbH;Brensteiner Str. 27-29;01277;Dresden;1
1375;Marks Dieselmotorentechnik ;Enderstr. 63;01277;Dresden;1
5445;Autoservice Laubegast;sterreicher Str. 63;01279;Dresden;1
4413;Kfz-Meisterbetrieb Stege;Tolkewitzer Strasse 83;01279;Dresden;1
4430;Dietmar Beerwart ;Hertelstrasse 17;01307;Dresden;1
2721;Auto-Walther GmbH & Co.KG;Brockhausstr. 12;01471;Radeburg;1
4044;Autoreparaturwerk Freital KG;Cunnersdorferstraáe 12;01705;Freital;1
5192;Freie KFZ-Meisterwerkstatt;Poisentalstr. 12;01705;Freital;1
4571;Boxenstop KFZ-Meisterwerkstatt;Zum Grund 3;01705;Freital;1
4754;Kfz-Meister Jens Jahn;Straáe des Friedens 37;01723;Kesselsdorf;1
4426;Kfz-Meisterbetrieb Sllner;August Bebel Strasse 82;01728;Bannewitz;1
4271;Autohaus Godzik OHG;Hauptstrasse 9a;01728;Bannewitz/OT Possendorf;1
4331;FTT Fahrzeug Technik Tharandt;Dresdner Straáe 36b;01737;Tharandt;1
nan;nan;nan;nan;nan;nan
nan;PIR Anlief. 7.45 Uhr;nan;nan;nan;nan
4925;Kfz-Service-Pahner;Rhrsdorfer Straáe 24;01257;Dresden;1
4266;Auto-Service Mller GbR;Fritz-Schreiter-Strasse 31;01259;Dresden;1
4646;Gustavs Autohof;Wittgensdorf Nr. 16;01731;Kreischa OT Wittgensdorf;1
40158;Kloss Auto-Service;Bahretalstr. 3a;01796;Dohma;1
40736;Jrgen Schiebel;Cotta B 16G;01796;Dohma;1
40764;Lars Richter;An der Viehleite 30;01796;Pirna;1
40482;Kfz-Reparatur;Pratzschwitzer Straáe 220;01796;Pirna/Birkwitz;1
40138;Kfz-Service Hertling;Herbert-Liebsch- Str. 4;01796;Pirna-Sonnenstein;1
