canonical_name,canonical_address,canonical_lat,canonical_lon,kdnr,category,description,tour_occurrences,last_seen
Turboservice Ingo Barthel,Bohnitzscher Str. 4 01662 Meißen,,,BAR,autoservice,Turboservice Ingo Barthel - BAR-Kunde,15,2025-10-01
Testa Baresi,Lausener Str. 4B 04207 Leipzig,,,BAR,autoservice,Testa Baresi - BAR-Kunde,19,2025-09-29
